Distribution Group grubuna ali2 kullanıcısı  eklenemedi !!!	Çünkü ali2 2. domainde tanımlı bir kullanıcı değil.
MailGrp1 grubuna user1 kullanıcısı  eklenemedi !!!	Çünkü user1 2. domainde tanımlı bir kullanıcı değil.
Distribution Group2 grubuna ali2 kullanıcısı  eklenemedi !!!	Çünkü ali2 2. domainde tanımlı bir kullanıcı değil.
